C1,Data,Palettes,Pivot field names,key
C1,#00beb9,P4,Playful3,a
C1,#00beb9,P5,Playful3,a
C1,#00beb9,P5,Positive3,a
C1,#1b4c79,P2,Trustworthy2,aafes
C1,#3c3c3c,P1,Negative1,aax
C1,#3c3c3c,P1,Serious1,aax
C1,#3c3c3c,P1,Serious2,aax
C2,#69301d,P1,Negative1,aaznxc
C1,#3c3c3c,P2,Serious1,aax
C1,#3c3c3c,P2,Serious2,aax
C3,#845145,P1,Negative1,abeorvgn
C1,#3c3c3c,P3,Serious1,aax
C1,#3c3c3c,P3,Serious2,aax
C4,#9796bb,P1,Negative1,abhi
C1,#3c3c3c,P4,Serious2,aax
C5,#6e746a,P1,Negative1,bbb
C1,#3c3c3c,P5,Serious2,aax
C1,#5a922d,P5,Serious1,accykvo
C1,#8ad2f1,P1,Calm2,acjjzgte
C1,#23bf0c,P1,Disturbing2,acjl
C1,#23bf0c,P1,Positive2,acjl
C1,#23bf0c,P2,Positive3,acjl
C1,#23bf0c,P3,Disturbing3,acjl
C1,#23bf0c,P3,Exciting2,acjl
C1,#23bf0c,P3,Positive3,acjl
C1,#23bf0c,P4,Calm3,acjl
C1,#23bf0c,P4,Disturbing3,acjl
C1,#23bf0c,P4,Playful2,acjl
C1,#23bf0c,P5,Playful2,acjl
C1,#23bf0c,P5,Positive2,acjl
C1,#32bff2,P1,Trustworthy2,adwfemsg
C1,#0073aa,P3,Trustworthy2,aeewmcsb
C1,#0073aa,P5,Calm3,aeewmcsb
C1,#83b3e3,P1,Negative2,aeghdclv
C1,#83b3e3,P1,Trustworthy3,aeghdclv
C1,#478f8d,P3,Trustworthy3,aeoabft
C1,#478f8d,P4,Trustworthy3,aeoabft
C1,#0572cd,P3,Playful3,afk
C1,#0572cd,P3,Serious3,afk
C1,#0572cd,P5,Exciting3,afk
C1,#863e85,P3,Calm3,afvtqju
C1,#863e85,P4,Exciting3,afvtqju
C1,#863e85,P4,Serious3,afvtqju
C1,#863e85,P5,Trustworthy3,afvtqju
C1,#9796bb,P2,Calm1,abhi
C1,#9796bb,P3,Calm1,abhi
C2,#9796bb,P1,Negative2,abhi
C1,#30355f,P4,Serious1,agtnmib
C3,#3c3c3c,P1,Negative2,aax
C4,#6d6eb9,P1,Negative2,agxgpuv
C1,#51692b,P2,Trustworthy3,agy
C1,#69301d,P1,Disturbing1,aaznxc
C2,#920000,P1,Disturbing1,ah
C1,#69301d,P2,Disturbing2,aaznxc
C1,#69301d,P3,Disturbing2,aaznxc
C5,#d4d4d4,P1,Negative2,aici
C1,#69301d,P4,Disturbing2,aaznxc
