id,source,target,weight
#91d2f5#fc1a00,#91d2f5,#fc1a00,1
#ddb1c7#f8b010,#ddb1c7,#f8b010,1
#ccd61b#ddb1c7,#ccd61b,#ddb1c7,1
#989898#f8b010,#989898,#f8b010,1
#989898#ddb1c7,#989898,#ddb1c7,1
#989898#ccd61b,#989898,#ccd61b,1
#91d2f5#f8b010,#91d2f5,#f8b010,1
#91d2f5#ddb1c7,#91d2f5,#ddb1c7,1
#91d2f5#989898,#91d2f5,#989898,1
#add9a1#f64389,#add9a1,#f64389,1
#add9a1#f3d02d,#add9a1,#f3d02d,1
#91d2f5#f64389,#91d2f5,#f64389,1
#91d2f5#add9a1,#91d2f5,#add9a1,1
#87acec#f64389,#87acec,#f64389,1
#87acec#f3d02d,#87acec,#f3d02d,1
#87acec#add9a1,#87acec,#add9a1,1
#c67036#ccd61b,#c67036,#ccd61b,1
#a2ccc0#ccd61b,#a2ccc0,#ccd61b,1
#a2ccc0#c67036,#a2ccc0,#c67036,1
#91d2f5#c67036,#91d2f5,#c67036,1
#91d2f5#a2ccc0,#91d2f5,#a2ccc0,1
#87acec#ccd61b,#87acec,#ccd61b,1
#87acec#c67036,#87acec,#c67036,1
#87acec#a2ccc0,#87acec,#a2ccc0,1
#a857aa#ccd61b,#a857aa,#ccd61b,1
#a5b34b#f64389,#a5b34b,#f64389,1
#a5b34b#f3d02d,#a5b34b,#f3d02d,1
#0878b0#a5b34b,#0878b0,#a5b34b,1
#40c9ff#a5b34b,#40c9ff,#a5b34b,1
#c67036#f8b010,#c67036,#f8b010,1
#c67036#f3d02d,#c67036,#f3d02d,1
#0878b0#c67036,#0878b0,#c67036,1
#40c9ff#c67036,#40c9ff,#c67036,1
#f4e5d4#f64389,#f4e5d4,#f64389,1
#ccd61b#f4e5d4,#ccd61b,#f4e5d4,1
#0878b0#f4e5d4,#0878b0,#f4e5d4,1
#0878b0#ccd61b,#0878b0,#ccd61b,1
#40c9ff#f4e5d4,#40c9ff,#f4e5d4,1
#a857aa#fc1a00,#a857aa,#fc1a00,1
#d4b5bb#f27c13,#d4b5bb,#f27c13,1
#ccd61b#d4b5bb,#ccd61b,#d4b5bb,1
#40c9ff#f27c13,#40c9ff,#f27c13,1
#40c9ff#d4b5bb,#40c9ff,#d4b5bb,1
#23bf0c#f27c13,#23bf0c,#f27c13,1
#23bf0c#d4b5bb,#23bf0c,#d4b5bb,1
#853d84#f64389,#853d84,#f64389,1
#853d84#f8b010,#853d84,#f8b010,1
#24beb9#f64389,#24beb9,#f64389,1
#24beb9#f8b010,#24beb9,#f8b010,1
#24beb9#853d84,#24beb9,#853d84,1
#23bf0c#853d84,#23bf0c,#853d84,1
#23bf0c#24beb9,#23bf0c,#24beb9,1
#f27c13#fc1a00,#f27c13,#fc1a00,1
#0878b0#f27c13,#0878b0,#f27c13,1
#6e47bc#fc1a00,#6e47bc,#fc1a00,1
#6e47bc#a857aa,#6e47bc,#a857aa,1
#6d6eb9#fc1a00,#6d6eb9,#fc1a00,1
#6d6eb9#f8b010,#6d6eb9,#f8b010,1
#6d6eb9#40c9ff,#6d6eb9,#40c9ff,1
#6d6eb9#23bf0c,#6d6eb9,#23bf0c,1
#ded9bb#f3d02d,#ded9bb,#f3d02d,1
#ccd61b#ded9bb,#ccd61b,#ded9bb,1
#91d2f5#ded9bb,#91d2f5,#ded9bb,1
#6d6eb9#f3d02d,#6d6eb9,#f3d02d,1
#6d6eb9#ded9bb,#6d6eb9,#ded9bb,1
#6d6eb9#ccd61b,#6d6eb9,#ccd61b,1
#6d6eb9#91d2f5,#6d6eb9,#91d2f5,1
#ccd61b#f8b010,#ccd61b,#f8b010,1
#a857aa#ccd61b,#a857aa,#ccd61b,1
#c67036#f3d02d,#c67036,#f3d02d,1
#add9a1#f27c13,#add9a1,#f27c13,1
#add9a1#f3d02d,#add9a1,#f3d02d,1
#add9a1#c67036,#add9a1,#c67036,1
#a5b34b#f27c13,#a5b34b,#f27c13,1
#a5b34b#f3d02d,#a5b34b,#f3d02d,1
#a5b34b#c67036,#a5b34b,#c67036,1
#a5b34b#add9a1,#a5b34b,#add9a1,1
#c67036#cf2616,#c67036,#cf2616,1
#989898#f8b010,#989898,#f8b010,1
#989898#cf2616,#989898,#cf2616,1
#989898#c67036,#989898,#c67036,1
#920000#f8b010,#920000,#f8b010,1
#920000#cf2616,#920000,#cf2616,1
#920000#c67036,#920000,#c67036,1
#920000#989898,#920000,#989898,1
#853d84#f64389,#853d84,#f64389,1
#853d84#f3d02d,#853d84,#f3d02d,1
#853d84#ccd61b,#853d84,#ccd61b,1
#ccd61b#f27c13,#ccd61b,#f27c13,1
#ddb1c7#f4e5d4,#ddb1c7,#f4e5d4,1
#920000#f4e5d4,#920000,#f4e5d4,1
#920000#ddb1c7,#920000,#ddb1c7,1
#853d84#f4e5d4,#853d84,#f4e5d4,1
#853d84#ddb1c7,#853d84,#ddb1c7,1
#853d84#920000,#853d84,#920000,1
#40c9ff#f4e5d4,#40c9ff,#f4e5d4,1
#40c9ff#920000,#40c9ff,#920000,1
#ddb1c7#f64389,#ddb1c7,#f64389,1
#ddb1c7#f8b010,#ddb1c7,#f8b010,1
#cf2616#f64389,#cf2616,#f64389,1
#cf2616#ddb1c7,#cf2616,#ddb1c7,1
#40c9ff#cf2616,#40c9ff,#cf2616,1
#d4d4d4#f64389,#d4d4d4,#f64389,1
#d4d4d4#f27c13,#d4d4d4,#f27c13,1
#c67036#d4d4d4,#c67036,#d4d4d4,1
#40c9ff#d4d4d4,#40c9ff,#d4d4d4,1
#40c9ff#c67036,#40c9ff,#c67036,1
#f8b010#f27c13,#f8b010,#f27c13,1
#478f8d#f27c13,#478f8d,#f27c13,1
#478f8d#f8b010,#478f8d,#f8b010,1
#478f8d#a857aa,#478f8d,#a857aa,1
#24beb9#478f8d,#24beb9,#478f8d,1
#0878b0#f3d02d,#0878b0,#f3d02d,1
#24beb9#fc1a00,#24beb9,#fc1a00,1
#24beb9#0878b0,#24beb9,#0878b0,1
#add9a1#f64389,#add9a1,#f64389,1
#add9a1#ccd61b,#add9a1,#ccd61b,1
#24beb9#ccd61b,#24beb9,#ccd61b,1
#24beb9#add9a1,#24beb9,#add9a1,1
#23bf0c#add9a1,#23bf0c,#add9a1,1
#0878b0#f8b010,#0878b0,#f8b010,1
#23bf0c#0878b0,#23bf0c,#0878b0,1
#40c9ff#a857aa,#40c9ff,#a857aa,1
#ccd61b#fc1a00,#ccd61b,#fc1a00,1
#91d2f5#f27c13,#91d2f5,#f27c13,1
#24beb9#c67036,#24beb9,#c67036,1
#6e47bc#f27c13,#6e47bc,#f27c13,1
#6e47bc#24beb9,#6e47bc,#24beb9,1
#a2ccc0#fc1a00,#a2ccc0,#fc1a00,1
#a2ccc0#f8b010,#a2ccc0,#f8b010,1
#23bf0c#a2ccc0,#23bf0c,#a2ccc0,1
#6e47bc#a2ccc0,#6e47bc,#a2ccc0,1
#6e47bc#ccd61b,#6e47bc,#ccd61b,1
#c67036#eac793,#c67036,#eac793,1
#87acec#eac793,#87acec,#eac793,1
#87acec#c67036,#87acec,#c67036,1
#23bf0c#eac793,#23bf0c,#eac793,1
#23bf0c#87acec,#23bf0c,#87acec,1
#6d6eb9#eac793,#6d6eb9,#eac793,1
#6d6eb9#c67036,#6d6eb9,#c67036,1
#6d6eb9#87acec,#6d6eb9,#87acec,1
#6d6eb9#23bf0c,#6d6eb9,#23bf0c,1
#87acec#91d2f5,#87acec,#91d2f5,2
#ccd61b#fc1a00,#ccd61b,#fc1a00,2
#f8b010#f27c13,#f8b010,#f27c13,2
#0878b0#fc1a00,#0878b0,#fc1a00,2
#0878b0#f8b010,#0878b0,#f8b010,2
#23bf0c#0878b0,#23bf0c,#0878b0,2
#6e47bc#0878b0,#6e47bc,#0878b0,2
#f27c13#f64389,#f27c13,#f64389,2
#f3d02d#f27c13,#f3d02d,#f27c13,2
#6e47bc#f27c13,#6e47bc,#f27c13,2
#6e47bc#f8b010,#6e47bc,#f8b010,2
#6e47bc#ccd61b,#6e47bc,#ccd61b,2
#6e47bc#40c9ff,#6e47bc,#40c9ff,2
#40c9ff#f8b010,#40c9ff,#f8b010,2
#91d2f5#f3d02d,#91d2f5,#f3d02d,2
